-0.8062,2.9899,0.3184,-3.4212,-0.8051,0.078852
-0.80642,3.0126,0.29279,-3.4181,-0.80533,0.078774
-0.80657,3.0329,0.2694,-3.415,-0.80548,0.078686
-0.80665,3.0508,0.2484,-3.4117,-0.80557,0.078589
-0.80668,3.0662,0.22989,-3.4085,-0.80561,0.078486
-0.80666,3.0792,0.21399,-3.4054,-0.80561,0.078377
-0.80662,3.0896,0.20076,-3.4024,-0.80557,0.078264
-0.80656,3.0975,0.19027,-3.3996,-0.80552,0.078147
-0.80648,3.1029,0.18254,-3.397,-0.80545,0.078027
-0.80638,3.1057,0.17762,-3.3947,-0.80536,0.077905
-0.80628,3.106,0.1755,-3.3927,-0.80527,0.07778
-0.80616,3.1037,0.1762,-3.3909,-0.80516,0.077654
-0.80604,3.0989,0.1797,-3.3893,-0.80504,0.077525
-0.8059,3.0915,0.18599,-3.388,-0.80491,0.077394
-0.80573,3.0815,0.19504,-3.3869,-0.80476,0.07726
-0.80554,3.0691,0.20681,-3.386,-0.80458,0.077121
-0.80532,3.0541,0.22122,-3.3852,-0.80436,0.076977
-0.80504,3.0367,0.23821,-3.3845,-0.8041,0.076827
-0.80471,3.0168,0.25766,-3.3838,-0.80377,0.076668
-0.8043,2.9945,0.27946,-3.3829,-0.80337,0.0765
-0.8038,2.9699,0.30344,-3.3819,-0.80288,0.076321
-0.80319,2.9429,0.32941,-3.3806,-0.80229,0.076128
-0.80246,2.9137,0.35715,-3.3787,-0.80157,0.075921
-0.80158,2.8823,0.3864,-3.3761,-0.8007,0.075697
-0.80053,2.8488,0.41688,-3.3726,-0.79967,0.075454
-0.7993,2.8134,0.44826,-3.3681,-0.79845,0.075192
-0.79785,2.776,0.48021,-3.3621,-0.79702,0.074908
-0.79617,2.7369,0.51234,-3.3545,-0.79535,0.074601
-0.79422,2.6962,0.54427,-3.345,-0.79342,0.07427
-0.79199,2.6539,0.57559,-3.3332,-0.79121,0.073913
-0.78945,2.6102,0.60589,-3.319,-0.78868,0.073529
-0.78655,2.5653,0.63473,-3.3021,-0.78581,0.073118
-0.78328,2.5193,0.66168,-3.282,-0.78256,0.072676
-0.7796,2.4723,0.68632,-3.2586,-0.7789,0.072202
-0.77546,2.4245,0.7082,-3.2315,-0.77479,0.071694
-0.77084,2.3761,0.72688,-3.2006,-0.77019,0.071149
-0.76568,2.3272,0.74194,-3.1655,-0.76506,0.070563
